chrom	start	end	region	is_bad_bin	log2_insulation_score_150000	n_valid_pixels_150000	log2_insulation_score_250000	n_valid_pixels_250000	log2_insulation_score_500000	n_valid_pixels_500000	boundary_strength_150000	boundary_strength_500000	boundary_strength_250000	is_boundary_150000	is_boundary_250000	is_boundary_500000
MG_1::chr2R:9783303-9864769	0	10000	MG_1::chr2R:9783303-9864769	False	0.1815730565350175	6.0	0.1815730565350175	6.0	0.1815730565350175	6.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	10000	20000	MG_1::chr2R:9783303-9864769	False	-0.039296603997966015	11.0	-0.039296603997966015	11.0	-0.039296603997966015	11.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	20000	30000	MG_1::chr2R:9783303-9864769	False	-0.018077802490160975	15.0	-0.018077802490160975	15.0	-0.018077802490160975	15.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	30000	40000	MG_1::chr2R:9783303-9864769	False	-0.024236672415964777	17.0	-0.024236672415964777	17.0	-0.024236672415964777	17.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	40000	50000	MG_1::chr2R:9783303-9864769	False	0.017854077689050816	17.0	0.017854077689050816	17.0	0.017854077689050816	17.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	50000	60000	MG_1::chr2R:9783303-9864769	False	0.05599899801798677	15.0	0.05599899801798677	15.0	0.05599899801798677	15.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	60000	70000	MG_1::chr2R:9783303-9864769	False	-0.058532945137137485	11.0	-0.058532945137137485	11.0	-0.058532945137137485	11.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	70000	80000	MG_1::chr2R:9783303-9864769	False	0.026993923706460216	6.0	0.026993923706460216	6.0	0.026993923706460216	6.0	nan	nan	nan	False	False	False
MG_1::chr2R:9783303-9864769	80000	81466	MG_1::chr2R:9783303-9864769	True	nan	0.0	nan	0.0	nan	0.0	nan	nan	nan	False	False	False
MG_2::chr2R:9861736-9954592	0	10000	MG_2::chr2R:9861736-9954592	True	nan	0.0	nan	0.0	nan	0.0	nan	nan	nan	False	False	False
MG_2::chr2R:9861736-9954592	10000	20000	MG_2::chr2R:9861736-9954592	False	-0.4473853286042057	4.0	-0.4473853286042057	4.0	-0.4473853286042057	4.0	nan	nan	nan	False	False	False
MG_2::chr2R:9861736-9954592	20000	30000	MG_2::chr2R:9861736-9954592	False	-0.47645197269436895	7.0	-0.47645197269436895	7.0	-0.47645197269436895	7.0	nan	nan	nan	False	False	False
MG_2::chr2R:9861736-9954592	30000	40000	MG_2::chr2R:9861736-9954592	False	-0.22535265417592765	9.0	-0.22535265417592765	9.0	-0.22535265417592765	9.0	nan	nan	nan	False	False	False
MG_2::chr2R:9861736-9954592	40000	50000	MG_2::chr2R:9861736-9954592	False	0.19486127329072261	9.0	0.19486127329072261	9.0	0.19486127329072261	9.0	nan	nan	nan	False	False	False
MG_2::chr2R:9861736-9954592	50000	60000	MG_2::chr2R:9861736-9954592	False	0.33221063456084343	7.0	0.33221063456084343	7.0	0.33221063456084343	7.0	nan	nan	nan	False	False	False
MG_2::chr2R:9861736-9954592	60000	70000	MG_2::chr2R:9861736-9954592	False	0.20050152208403882	4.0	0.20050152208403882	4.0	0.20050152208403882	4.0	nan	nan	nan	False	False	False
MG_2::chr2R:9861736-9954592	70000	80000	MG_2::chr2R:9861736-9954592	True	nan	0.0	nan	0.0	nan	0.0	nan	nan	nan	False	False	False
MG_2::chr2R:9861736-9954592	80000	90000	MG_2::chr2R:9861736-9954592	True	nan	0.0	nan	0.0	nan	0.0	nan	nan	nan	False	False	False
MG_2::chr2R:9861736-9954592	90000	92856	MG_2::chr2R:9861736-9954592	True	nan	0.0	nan	0.0	nan	0.0	nan	nan	nan	False	False	False
MG_3::chr2R:9937874-10035582	0	10000	MG_3::chr2R:9937874-10035582	True	nan	0.0	nan	0.0	nan	0.0	nan	nan	nan	False	False	False
MG_3::chr2R:9937874-10035582	10000	20000	MG_3::chr2R:9937874-10035582	True	nan	0.0	nan	0.0	nan	0.0	nan	nan	nan	False	False	False
MG_3::chr2R:9937874-10035582	20000	30000	MG_3::chr2R:9937874-10035582	False	-0.29238307316793566	5.0	-0.29238307316793566	5.0	-0.29238307316793566	5.0	nan	nan	nan	False	False	False
MG_3::chr2R:9937874-10035582	30000	40000	MG_3::chr2R:9937874-10035582	False	0.3366363524247843	9.0	0.3366363524247843	9.0	0.3366363524247843	9.0	nan	nan	nan	False	False	False
MG_3::chr2R:9937874-10035582	40000	50000	MG_3::chr2R:9937874-10035582	False	0.20993159722332305	12.0	0.20993159722332305	12.0	0.20993159722332305	12.0	nan	nan	nan	False	False	False
MG_3::chr2R:9937874-10035582	50000	60000	MG_3::chr2R:9937874-10035582	False	0.19163304925550376	13.0	0.19163304925550376	13.0	0.19163304925550376	13.0	nan	nan	nan	False	False	False
MG_3::chr2R:9937874-10035582	60000	70000	MG_3::chr2R:9937874-10035582	False	0.0	12.0	0.0	12.0	0.0	12.0	nan	nan	nan	False	False	False
MG_3::chr2R:9937874-10035582	70000	80000	MG_3::chr2R:9937874-10035582	False	-0.2525828541234425	9.0	-0.2525828541234425	9.0	-0.2525828541234425	9.0	nan	nan	nan	False	False	False
MG_3::chr2R:9937874-10035582	80000	90000	MG_3::chr2R:9937874-10035582	False	-0.050498113386188974	5.0	-0.050498113386188974	5.0	-0.050498113386188974	5.0	nan	nan	nan	False	False	False
MG_3::chr2R:9937874-10035582	90000	97708	MG_3::chr2R:9937874-10035582	True	nan	0.0	nan	0.0	nan	0.0	nan	nan	nan	False	False	False
MG_4::chr2R:10034493-10133457	0	10000	MG_4::chr2R:10034493-10133457	False	-0.23927787925049143	8.0	-0.23927787925049143	8.0	-0.23927787925049143	8.0	nan	nan	nan	False	False	False
MG_4::chr2R:10034493-10133457	10000	20000	MG_4::chr2R:10034493-10133457	False	0.17554070863980073	15.0	0.17554070863980073	15.0	0.17554070863980073	15.0	nan	nan	nan	False	False	False
MG_4::chr2R:10034493-10133457	20000	30000	MG_4::chr2R:10034493-10133457	False	-0.020230746340830257	21.0	-0.020230746340830257	21.0	-0.020230746340830257	21.0	nan	nan	nan	False	False	False
MG_4::chr2R:10034493-10133457	30000	40000	MG_4::chr2R:10034493-10133457	False	-0.08191812855694795	25.0	-0.08191812855694795	25.0	-0.08191812855694795	25.0	nan	nan	nan	False	False	False
MG_4::chr2R:10034493-10133457	40000	50000	MG_4::chr2R:10034493-10133457	False	-0.11581334245338466	27.0	-0.11581334245338466	27.0	-0.11581334245338466	27.0	0.13641770991218286	0.13641770991218286	0.13641770991218286	True	True	True
MG_4::chr2R:10034493-10133457	50000	60000	MG_4::chr2R:10034493-10133457	False	-0.018320054313440807	27.0	-0.018320054313440807	27.0	-0.018320054313440807	27.0	nan	nan	nan	False	False	False
MG_4::chr2R:10034493-10133457	60000	70000	MG_4::chr2R:10034493-10133457	False	0.018090331301831793	25.0	0.018090331301831793	25.0	0.018090331301831793	25.0	nan	nan	nan	False	False	False
MG_4::chr2R:10034493-10133457	70000	80000	MG_4::chr2R:10034493-10133457	False	0.020604367458798185	21.0	0.020604367458798185	21.0	0.020604367458798185	21.0	nan	nan	nan	False	False	False
MG_4::chr2R:10034493-10133457	80000	90000	MG_4::chr2R:10034493-10133457	False	0.14292373957310522	15.0	0.14292373957310522	15.0	0.14292373957310522	15.0	nan	nan	nan	False	False	False
MG_4::chr2R:10034493-10133457	90000	98964	MG_4::chr2R:10034493-10133457	False	0.12688052081642778	8.0	0.12688052081642778	8.0	0.12688052081642778	8.0	nan	nan	nan	False	False	False
FlyFos027077::chrX:795762-831457	0	10000	FlyFos027077::chrX:795762-831457	False	0.0	1.0	0.0	1.0	0.0	1.0	nan	nan	nan	False	False	False
FlyFos027077::chrX:795762-831457	10000	20000	FlyFos027077::chrX:795762-831457	False	0.0	1.0	0.0	1.0	0.0	1.0	nan	nan	nan	False	False	False
FlyFos027077::chrX:795762-831457	20000	30000	FlyFos027077::chrX:795762-831457	False	0.0	1.0	0.0	1.0	0.0	1.0	nan	nan	nan	False	False	False
FlyFos027077::chrX:795762-831457	30000	35695	FlyFos027077::chrX:795762-831457	True	nan	0.0	nan	0.0	nan	0.0	nan	nan	nan	False	False	False
FlyFos031487::chrX:2135290-2166685	0	10000	FlyFos031487::chrX:2135290-2166685	False	0.0	1.0	0.0	1.0	0.0	1.0	nan	nan	nan	False	False	False
FlyFos031487::chrX:2135290-2166685	10000	20000	FlyFos031487::chrX:2135290-2166685	False	0.0	1.0	0.0	1.0	0.0	1.0	nan	nan	nan	False	False	False
