	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	MJ21_5.5000_balanced.cool	all	0	26.204042147384655	279	1.0
1	MJ21_5.5000_balanced.cool	all	5000	1.2460784509401068	249	1.0
2	MJ21_5.5000_balanced.cool	all	10000	0.030470013303599358	219	1.0
3	MJ21_5.5000_balanced.cool	all	15000	0.021234277517205614	189	1.0
4	MJ21_5.5000_balanced.cool	all	20000	0.01666623517520634	159	1.0
5	MJ21_5.5000_balanced.cool	all	25000	0.012980172979981747	129	1.0
6	MJ21_5.5000_balanced.cool	all	30000	0.010970287499479236	99	1.0
7	MJ21_5.5000_balanced.cool	all	35000	0.008884351718841412	69	1.0
8	MJ21_5.5000_balanced.cool	all	40000	0.007356239031166547	49	1.0
9	MJ21_5.5000_balanced.cool	all	45000	0.00822624223891416	40	1.0
10	MJ21_5.5000_balanced.cool	all	50000	0.007977824949059008	36	1.0
11	MJ21_5.5000_balanced.cool	all	55000	0.006399449006508704	32	1.0
12	MJ21_5.5000_balanced.cool	all	60000	0.005790881914125362	28	1.0
13	MJ21_5.5000_balanced.cool	all	65000	0.006484954225293536	24	1.0
14	MJ21_5.5000_balanced.cool	all	70000	0.004842960585213911	20	1.0
15	MJ21_5.5000_balanced.cool	all	75000	0.003292232901632673	16	1.0
16	MJ21_5.5000_balanced.cool	all	80000	0.00450600854488479	12	1.0
17	MJ21_5.5000_balanced.cool	all	85000	0.005319894762237853	8	1.0
18	MJ21_5.5000_balanced.cool	all	90000	0.007604298359562252	5	1.0
19	MJ21_5.5000_balanced.cool	all	95000	0.01568990341399429	2	1.0
