	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	MJ21_6.5000_balanced.cool	all	0	23.520678874034697	279	1.0
1	MJ21_6.5000_balanced.cool	all	5000	1.0608015256787817	249	1.0
2	MJ21_6.5000_balanced.cool	all	10000	0.028262022136417545	219	1.0
3	MJ21_6.5000_balanced.cool	all	15000	0.02016102042861641	189	1.0
4	MJ21_6.5000_balanced.cool	all	20000	0.014786716626844209	159	1.0
5	MJ21_6.5000_balanced.cool	all	25000	0.013510298117462932	129	1.0
6	MJ21_6.5000_balanced.cool	all	30000	0.01066873157718602	99	1.0
7	MJ21_6.5000_balanced.cool	all	35000	0.008088181822956248	69	1.0
8	MJ21_6.5000_balanced.cool	all	40000	0.007683064820188004	49	1.0
9	MJ21_6.5000_balanced.cool	all	45000	0.008592629142079668	40	1.0
10	MJ21_6.5000_balanced.cool	all	50000	0.006728193033489167	36	1.0
11	MJ21_6.5000_balanced.cool	all	55000	0.006969370992617594	32	1.0
12	MJ21_6.5000_balanced.cool	all	60000	0.005544756320560585	28	1.0
13	MJ21_6.5000_balanced.cool	all	65000	0.004937910614010263	24	1.0
14	MJ21_6.5000_balanced.cool	all	70000	0.004954658701032538	20	1.0
15	MJ21_6.5000_balanced.cool	all	75000	0.002839133972780904	16	1.0
16	MJ21_6.5000_balanced.cool	all	80000	0.004140635701038486	12	1.0
17	MJ21_6.5000_balanced.cool	all	85000	0.003033613958848284	8	1.0
18	MJ21_6.5000_balanced.cool	all	90000	0.0026043984205332818	5	1.0
