	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	MJ21_4.5000_balanced.cool	all	0	83.19996392437741	279	1.0
1	MJ21_4.5000_balanced.cool	all	5000	3.483195434563798	249	1.0
2	MJ21_4.5000_balanced.cool	all	10000	0.011298303993907183	219	1.0
3	MJ21_4.5000_balanced.cool	all	15000	0.00744303674388316	189	1.0
4	MJ21_4.5000_balanced.cool	all	20000	0.007425143639309176	159	1.0
5	MJ21_4.5000_balanced.cool	all	25000	0.006423222829805233	129	1.0
6	MJ21_4.5000_balanced.cool	all	30000	0.005793364925894044	99	1.0
7	MJ21_4.5000_balanced.cool	all	35000	0.004336084062504128	69	1.0
8	MJ21_4.5000_balanced.cool	all	40000	0.004031834498583918	49	1.0
9	MJ21_4.5000_balanced.cool	all	45000	0.004847421806339239	40	1.0
10	MJ21_4.5000_balanced.cool	all	50000	0.004253751554321508	36	1.0
11	MJ21_4.5000_balanced.cool	all	55000	0.004244903948838931	32	1.0
12	MJ21_4.5000_balanced.cool	all	60000	0.0037630057835153045	28	1.0
13	MJ21_4.5000_balanced.cool	all	65000	0.00296062284977671	24	1.0
14	MJ21_4.5000_balanced.cool	all	70000	0.002697589088092699	20	1.0
15	MJ21_4.5000_balanced.cool	all	75000	0.002456648384137481	16	1.0
16	MJ21_4.5000_balanced.cool	all	80000	0.0016826642740232559	12	1.0
17	MJ21_4.5000_balanced.cool	all	85000	0.0032565955709906048	8	1.0
18	MJ21_4.5000_balanced.cool	all	90000	0.005625423441237805	5	1.0
19	MJ21_4.5000_balanced.cool	all	95000	0.00176658655963707	2	1.0
