	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	MJ21_2.1000_balanced.cool	all	0	61.48689722600745	1326	1.0
1	MJ21_2.1000_balanced.cool	all	1000	15.458119293001523	1296	1.0
2	MJ21_2.1000_balanced.cool	all	2000	0.0351080182796975	1266	1.0
3	MJ21_2.1000_balanced.cool	all	3000	0.021344072126185692	1236	1.0
4	MJ21_2.1000_balanced.cool	all	4000	0.01657066688115759	1206	1.0
5	MJ21_2.1000_balanced.cool	all	5000	0.013782202121685478	1176	1.0
6	MJ21_2.1000_balanced.cool	all	6000	0.011268341917186689	1146	1.0
7	MJ21_2.1000_balanced.cool	all	7000	0.01023671010430226	1116	1.0
8	MJ21_2.1000_balanced.cool	all	8000	0.008736457601362203	1086	1.0
9	MJ21_2.1000_balanced.cool	all	9000	0.008220459848176757	1056	1.0
10	MJ21_2.1000_balanced.cool	all	10000	0.006491819486637798	1026	1.0
11	MJ21_2.1000_balanced.cool	all	11000	0.006493508455203573	996	1.0
12	MJ21_2.1000_balanced.cool	all	12000	0.005371193514503537	966	1.0
13	MJ21_2.1000_balanced.cool	all	13000	0.006839953361461185	936	1.0
14	MJ21_2.1000_balanced.cool	all	14000	0.005195824908687776	906	1.0
15	MJ21_2.1000_balanced.cool	all	15000	0.005108970326307081	876	1.0
16	MJ21_2.1000_balanced.cool	all	16000	0.005059493985194056	846	1.0
17	MJ21_2.1000_balanced.cool	all	17000	0.0046490552459884085	816	1.0
18	MJ21_2.1000_balanced.cool	all	18000	0.004859489410358716	786	1.0
19	MJ21_2.1000_balanced.cool	all	19000	0.005159613540426122	756	1.0
20	MJ21_2.1000_balanced.cool	all	20000	0.004105301550444473	726	1.0
21	MJ21_2.1000_balanced.cool	all	21000	0.004667678687219654	696	1.0
22	MJ21_2.1000_balanced.cool	all	22000	0.003897222753070284	666	1.0
23	MJ21_2.1000_balanced.cool	all	23000	0.004195085026210766	636	1.0
24	MJ21_2.1000_balanced.cool	all	24000	0.00410064470655102	606	1.0
25	MJ21_2.1000_balanced.cool	all	25000	0.0045438228376596355	576	1.0
26	MJ21_2.1000_balanced.cool	all	26000	0.0029208249517264115	546	1.0
27	MJ21_2.1000_balanced.cool	all	27000	0.003843981460962128	516	1.0
28	MJ21_2.1000_balanced.cool	all	28000	0.0036809076170639253	486	1.0
29	MJ21_2.1000_balanced.cool	all	29000	0.0027956181787110565	456	1.0
30	MJ21_2.1000_balanced.cool	all	30000	0.0035761228145838597	426	1.0
31	MJ21_2.1000_balanced.cool	all	31000	0.0035197258650061783	396	1.0
