	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	MJ21_8.10000_balanced.cool	all	0	29.945615169740087	148	1.0
1	MJ21_8.10000_balanced.cool	all	10000	0.6710586997521589	118	1.0
2	MJ21_8.10000_balanced.cool	all	20000	0.021297540774189907	88	1.0
3	MJ21_8.10000_balanced.cool	all	30000	0.014818765275404544	58	1.0
4	MJ21_8.10000_balanced.cool	all	40000	0.010522686093411102	28	1.0
5	MJ21_8.10000_balanced.cool	all	50000	0.013328407087618822	19	1.0
6	MJ21_8.10000_balanced.cool	all	60000	0.010985311656638796	15	1.0
7	MJ21_8.10000_balanced.cool	all	70000	0.005506203475263444	11	1.0
8	MJ21_8.10000_balanced.cool	all	80000	0.009224270910283716	7	1.0
9	MJ21_8.10000_balanced.cool	all	90000	0.014114724992658983	3	1.0
