chrom	start	end	weight	E1	E2	E3
MG_1::chr2R:9783303-9864769	0	10000	0.036696592402946045	-0.2258909319738316	-0.41648031182152423	-0.42042542239200065
MG_1::chr2R:9783303-9864769	10000	20000	0.03437302861442163	0.2831240798918325	-0.39496489448267474	-0.0949281590290956
MG_1::chr2R:9783303-9864769	20000	30000	0.033630531123207054	0.011419406177894342	-0.34267185056302785	0.28716008529915726
MG_1::chr2R:9783303-9864769	30000	40000	0.034192200037817096	0.5695702786094553	0.004475521569767723	0.3625110075876063
MG_1::chr2R:9783303-9864769	40000	50000	0.03734137829228792	-0.09784491196711385	-0.1697556151137257	0.286078978487142
MG_1::chr2R:9783303-9864769	50000	60000	0.038173885822414357	-0.43698716390593284	-0.3421203989344073	0.4874569722066438
MG_1::chr2R:9783303-9864769	60000	70000	0.03492981549468391	-0.4336917226419159	0.41735809062695467	0.14382935981117967
MG_1::chr2R:9783303-9864769	70000	80000	0.04058523534620812	-0.14826898644191056	-0.22932465899190624	-0.17220647190441793
MG_1::chr2R:9783303-9864769	80000	81466				
MG_2::chr2R:9861736-9954592	0	10000				
MG_2::chr2R:9861736-9954592	10000	20000	0.03277177065083977	0.1758690135822929	-0.1848626824023474	-0.1838260802118597
MG_2::chr2R:9861736-9954592	20000	30000	0.031684620441502165	-0.23336394753201847	0.10100170567097996	0.07762621608988597
MG_2::chr2R:9861736-9954592	30000	40000	0.031170578212469394	0.14392873170670348	0.14336467901726407	-0.24968116087706452
MG_2::chr2R:9861736-9954592	40000	50000	0.03682513767274857	-0.4237761749891264	-0.4221785682688716	-0.07825377748885429
MG_2::chr2R:9861736-9954592	50000	60000	0.03480068051777176	0.06332328021273538	-0.014652101550604826	0.2558917295658462
MG_2::chr2R:9861736-9954592	60000	70000	0.03351287881139404	0.38651443403906244	-0.36876739706475686	0.09576556778866492
MG_2::chr2R:9861736-9954592	70000	80000				
MG_2::chr2R:9861736-9954592	80000	90000				
MG_2::chr2R:9861736-9954592	90000	92856				
MG_3::chr2R:9937874-10035582	0	10000				
MG_3::chr2R:9937874-10035582	10000	20000				
MG_3::chr2R:9937874-10035582	20000	30000	0.026528235171739536	-0.5600804598157482	-0.3651519600974705	-0.5796590009057502
MG_3::chr2R:9937874-10035582	30000	40000	0.030324484325147495	-0.5655586076630805	-0.7104812334946509	0.1758344501808499
MG_3::chr2R:9937874-10035582	40000	50000	0.03414610549133492	0.07104421068892205	-0.025848242980348136	0.41073640241805154
