chrom	start	end	weight	E1	E2	E3
MG_1::chr2R:9783303-9864769	0	20000	0.023506315845817482			
MG_1::chr2R:9783303-9864769	20000	40000	0.023120192299021576			
MG_1::chr2R:9783303-9864769	40000	60000	0.025344405794122213			
MG_1::chr2R:9783303-9864769	60000	80000	0.02450410694142704			
MG_1::chr2R:9783303-9864769	80000	81466				
MG_2::chr2R:9861736-9954592	0	20000	0.025531028236388906			
MG_2::chr2R:9861736-9954592	20000	40000	0.020307043471611858			
MG_2::chr2R:9861736-9954592	40000	60000	0.023610606409859822			
MG_2::chr2R:9861736-9954592	60000	80000	0.02708064165079126			
MG_2::chr2R:9861736-9954592	80000	92856				
MG_3::chr2R:9937874-10035582	0	20000				
MG_3::chr2R:9937874-10035582	20000	40000	0.02017083155522784			
MG_3::chr2R:9937874-10035582	40000	60000	0.024381644992597713			
MG_3::chr2R:9937874-10035582	60000	80000	0.019309048857495594			
MG_3::chr2R:9937874-10035582	80000	97708	0.02210572225045456			
MG_4::chr2R:10034493-10133457	0	20000	0.021845041531445373			
MG_4::chr2R:10034493-10133457	20000	40000	0.020361571317223964			
MG_4::chr2R:10034493-10133457	40000	60000	0.020623160891242737			
MG_4::chr2R:10034493-10133457	60000	80000	0.019911755591096793			
MG_4::chr2R:10034493-10133457	80000	98964	0.020994241445493892			
FlyFos027077::chrX:795762-831457	0	20000	0.009329435976401183			
FlyFos027077::chrX:795762-831457	20000	35695	0.013670288137994684			
FlyFos031487::chrX:2135290-2166685	0	20000	0.004080534337601611			
FlyFos031487::chrX:2135290-2166685	20000	31395	0.007461093691338051			
FlyFos025581::chrX:2685715-2721010	0	20000	0.03504675908599476			
FlyFos025581::chrX:2685715-2721010	20000	35295	0.047986395787672644			
FlyFos018703::chrX:3667733-3708827	0	20000	0.030088716895224975			
FlyFos018703::chrX:3667733-3708827	20000	40000	0.036095123320840986			
FlyFos018703::chrX:3667733-3708827	40000	41094				
FlyFos029355::chrX:3704259-3739628	0	20000	0.02483363816787952			
FlyFos029355::chrX:3704259-3739628	20000	35369				
FlyFos022426::chrX:3724647-3755934	0	20000	0.2668803744767972			
FlyFos022426::chrX:3724647-3755934	20000	31287	0.15325865824834406			
FlyFos025448::chrX:5318986-5352179	0	20000	0.0267271693034235			
FlyFos025448::chrX:5318986-5352179	20000	33193	0.04006059063156205			
FlyFos022038::chrX:7035928-7072577	0	20000	0.022489916612693506			
FlyFos022038::chrX:7035928-7072577	20000	36649				
FlyFos030785::chrX:7053320-7095787	0	20000				
FlyFos030785::chrX:7053320-7095787	20000	40000	0.019761752696764234			
FlyFos030785::chrX:7053320-7095787	40000	42467	0.16087183211345069			
FlyFos021879::chrX:8909920-8947159	0	20000	0.024934487073260903			
FlyFos021879::chrX:8909920-8947159	20000	37239	0.024788597774413373			
FlyFos023955::chrX:10742683-10778978	0	20000	0.0204905707507005			
FlyFos023955::chrX:10742683-10778978	20000	36295	0.031178344958374443			
FlyFos021967::chrX:10778059-10813017	0	20000	0.07184213407890175			
FlyFos021967::chrX:10778059-10813017	20000	34958	0.16112350158348954			
FlyFos025500::chrX:10806687-10840288	0	20000	0.060908554558738025			
FlyFos025500::chrX:10806687-10840288	20000	33601	0.16685768178071483			
FlyFos021012::chrX:10832134-10868578	0	20000	0.08607733989636573			
FlyFos021012::chrX:10832134-10868578	20000	36444	0.07177978232929721			
FlyFos017984::chrX:11124685-11157816	0	20000	0.026428110221715557			
FlyFos017984::chrX:11124685-11157816	20000	33131	0.03949646835721586			
FlyFos026333::chrX:13312144-13347266	0	20000	0.007988558413299592			
FlyFos026333::chrX:13312144-13347266	20000	35122	0.010562471828356521			
FlyFos018941::chrX:14500243-14533957	0	20000	0.053237647146249595			
FlyFos018941::chrX:14500243-14533957	20000	33714	0.0675625666923016			
FlyFos019248::chrX:15252394-15293829	0	20000	0.027061666334076296			
FlyFos019248::chrX:15252394-15293829	20000	40000	0.02926223987950262			
FlyFos019248::chrX:15252394-15293829	40000	41435				
FlyFos020589::chrX:16217642-16258872	0	20000	0.014119655671994196			
FlyFos020589::chrX:16217642-16258872	20000	40000	0.012417756520592826			
FlyFos020589::chrX:16217642-16258872	40000	41230				
FlyFos030772::chrX:16900768-16933931	0	20000	0.006577978685544298			
FlyFos030772::chrX:16900768-16933931	20000	33163	0.009812317510723381			
FlyFos031639::chrX:16987106-17017397	0	20000	0.005616354027367541			
FlyFos031639::chrX:16987106-17017397	20000	30291	0.01061469748333613			
FlyFos025442::chrX:18647514-18690910	0	20000	0.03373211635757961			
FlyFos025442::chrX:18647514-18690910	20000	40000	0.03379317357409027			
FlyFos025442::chrX:18647514-18690910	40000	43396				
FlyFos029863::chrX:19017578-19051456	0	20000	0.050955589071620365			
FlyFos029863::chrX:19017578-19051456	20000	33878	0.0710600969503211			
FlyFos019190::chrX:19681040-19717450	0	20000	0.03712772669428973			
FlyFos019190::chrX:19681040-19717450	20000	36410	0.04506567412556778			
FlyFos023727::chrX:19725749-19763469	0	20000	0.07804710219689528			
FlyFos023727::chrX:19725749-19763469	20000	37720	0.09049056187575501			
FlyFos026416::chrX:21036774-21075498	0	20000	0.00987600904956933			
FlyFos026416::chrX:21036774-21075498	20000	38724	0.010571367224761761			
